primary,celllinename,tissue,gcell_gene__nrpkm_ALK,gcell_gene__nrpkm_APC,gcell_gene__nrpkm_ARID1A,gcell_gene__nrpkm_BCL6,gcell_gene__nrpkm_BRAF,gcell_gene__nrpkm_CBL,gcell_gene__nrpkm_CDKN2A,gcell_gene__nrpkm_CIC,gcell_gene__nrpkm_CSMD3,gcell_gene__nrpkm_CTNNB1,gcell_gene__nrpkm_DAXX,gcell_gene__nrpkm_DNAH5,gcell_gene__nrpkm_DNAJB1,gcell_gene__nrpkm_DNMT3A,gcell_gene__nrpkm_EGFR,gcell_gene__nrpkm_ERBB2,gcell_gene__nrpkm_FBXW7,gcell_gene__nrpkm_GLI1,gcell_gene__nrpkm_IDH1,gcell_gene__nrpkm_KMT2D,gcell_gene__nrpkm_KRAS,gcell_gene__nrpkm_LGALS7,gcell_gene__nrpkm_MET,gcell_gene__nrpkm_MUC16,gcell_gene__nrpkm_NFE2L2,gcell_gene__nrpkm_NOTCH2,gcell_gene__nrpkm_PIK3CA,gcell_gene__nrpkm_PRCC,gcell_gene__nrpkm_PTEN,gcell_gene__nrpkm_RUNX1,gcell_gene__nrpkm_TET2,gcell_gene__nrpkm_TP53,gcell_gene__nrpkm_TP63
CL586689,NCI-H2461,Lung,0.013555082,7.557163424,15.59217725,4.559206048,3.649726256,7.758749983,0,14.6039628,0.133019514,58.78523563,39.46746067,0.223017642,83.48899742,3.053827914,82.41085727,16.89489962,5.786616798,0.463542748,52.74029667,13.21440552,4.630778933,0,78.2396699,0.028053491,37.85163836,27.3195435,3.502390956,45.6215675,8.598412782,9.545934611,0.919481422,27.27556129,0.010275375
CL586688,NCI-H290,Lung,0,6.611317097,14.46208038,0.665059595,3.795797441,8.748483372,0,3.956258811,0.468030972,77.92215014,30.65054792,0.09987761,42.77100596,4.936347977,8.707682326,17.35819783,6.460101734,1.257850464,46.65262153,6.707416924,23.13392708,0,31.22495951,0.00051645,14.97765361,33.46172498,5.372876154,51.5140966,5.359516808,5.95812752,1.302241966,22.85553384,0.04161617
CL585322,NCI-H446,Lung,0.08333475,5.703706813,37.17766154,1.784521431,5.989986618,11.47821317,60.7051631,20.0382081,1.301240888,79.07691508,59.42227443,0.088923827,40.47725778,5.689792267,0.146911014,144.1930787,2.628672245,0.071524294,26.5874004,9.993033061,5.74235668,0,2.858811828,0.000737835,19.24683878,0.788413624,2.350099692,67.59137567,1.18005974,0.820592306,2.524481037,41.3529595,0.047069015
CL132330,NCI-H727,Lung,0.980886651,4.721659699,16.52514532,1.878661902,3.906115951,7.609440167,9.411355131,3.181948059,0.058044384,112.6407238,13.41313511,0.291116121,33.76878962,1.877282944,26.05630232,5.441796831,4.772536026,0.008989843,57.34795738,7.21323664,31.76826965,0,52.66576841,0.000741904,26.66012558,1.158807255,4.340023123,26.94783495,4.418569271,13.00843658,1.49658312,25.02492383,0.214224179
CL129191,NCI-H838,Lung,0,2.785053772,20.54717405,2.144909418,3.626978813,11.16043355,0.021832909,7.52780166,0,114.9308609,33.31666857,0.390199879,87.33364073,2.39952283,7.266383888,21.24209138,2.687088752,0.195380687,24.15515392,8.760007569,45.22180235,0,16.02857846,0.133712616,26.76206895,46.96726937,5.486148683,41.61784977,7.072467596,6.468660211,2.115875934,2.254466628,0.007922586
CL131718,NCI-H1155,Lung,1.377535681,3.241886933,26.2096374,0.646406865,4.352284044,10.55047389,36.1080803,18.2631552,0.685561443,42.31599608,54.04752402,0.013836493,38.33067794,5.536592905,3.130165681,1.336872067,11.29640558,0.05981911,17.31997783,15.45408137,6.629589223,0,0.042038821,0.002468344,17.81146136,1.957976142,3.111493651,37.80472245,0.898578848,0.26532543,2.878851898,14.65777458,0
CL586454,NCI-H1869,Lung,0,4.301145605,29.90263996,8.91280211,10.76061849,6.65374378,0.061402427,9.49809388,0.004807367,131.5115312,37.73168562,4.505292927,93.01721871,2.807682587,31.70924607,83.79061942,3.432419338,0,115.3357656,10.06554699,11.52147333,0,89.89607198,18.50464021,33.64129785,16.18410435,3.947441799,41.19450408,8.897470352,12.87372523,1.487404745,26.13860703,0.034659827
CL586373,NCI-H1930,Lung,0.035356812,2.923805633,32.10668049,0.433837714,7.308756721,15.72653313,33.90205306,9.339244578,0.005782759,91.86587599,35.2516652,0.445484218,31.07772276,7.299125505,0.518493776,2.830145348,5.073661192,0.021495038,52.13496218,8.749635009,13.46527842,0,3.483670521,0.000354784,22.96958537,2.08507379,3.082372861,32.31631627,2.719163514,2.135248271,2.674891419,16.920382,0.014294447
CL586382,HCC60 (NCI-H23),Lung,0.122070856,5.456424987,21.60322864,0.715783224,4.453784732,17.42008945,10.93470287,8.312351081,0.08984346,69.62067586,48.01404828,0.133892981,51.43421629,2.27359699,13.40317754,6.761173426,2.573769626,1.981473992,13.84467712,19.61505794,15.1618022,0,32.0410157,0.220850573,35.05934807,32.22032234,1.637914882,81.66837791,5.657786087,5.322725204,1.113954395,20.79827386,0.064157823
CL586725,NCI-H2369,Lung,0.011140963,4.882902373,16.32938408,2.734053078,3.298458843,6.188854142,0.007757856,7.931116862,0.051020268,77.44791721,51.95205801,1.391191519,55.22604568,1.268377625,47.11808698,25.28299582,3.523877996,0.074504164,27.36206578,6.14968851,9.123119404,0,26.28933084,0.002235855,27.57799418,28.62832811,2.846977794,35.1491566,8.006487881,12.30823862,1.19140508,11.96180518,0.003753494
CL586726,NCI-H2803,Lung,0.0031017,5.204293038,15.05597654,2.808934293,2.779667091,6.617006115,0.07775373,13.18914954,0.146101346,92.61063438,28.10606779,0.444888474,41.36264959,2.690337463,29.47152903,17.75019612,3.856486373,0.056569995,35.34658766,4.637006897,6.939029652,0,106.7311626,0.00093371,38.59090974,15.42259261,3.187698401,34.65323662,7.110891665,13.82760308,0.620461264,50.13493738,0.003134975
CL586452,NCI-H1581,Lung,0.001765804,2.482299681,24.59023122,0.086284092,6.034047163,7.288402855,17.43317095,4.878650513,0.560570131,75.11653871,43.50019575,0.014153652,25.81699327,4.1045531,0.029799595,11.64341982,1.497194191,11.77751842,18.5743259,7.287493034,3.291736915,0,0.221105618,0.003455158,15.94024357,12.3554779,1.725113438,40.20317141,5.179637431,1.473717056,1.746895488,0.936839056,0.353379969
CL131971,NCI-H2009,Lung,0.007503716,5.253616258,18.66861285,3.703275497,7.732344517,6.944307696,53.98582353,15.73609605,0.012886282,89.14371828,27.8092366,1.608098157,70.45025004,3.858105729,16.53205688,32.34176323,2.636834056,0.020528348,46.69338366,18.0680192,13.84917756,0,75.75455027,3.650875099,21.69629999,7.350393444,2.672178534,48.31154161,4.964050398,18.28867573,1.091949046,25.27478292,0.333705474
CL586731,NCI-H2731,Lung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL129455,NCI-H460,Lung,0,3.686444901,18.64704086,8.134205888,4.223146743,5.102957608,0.008420096,8.042756734,0.029665475,66.08177498,18.51100013,0.377487242,36.24653948,2.505703277,12.1242051,8.824760321,2.633534955,0.345510355,161.1893888,12.35686244,8.73697402,0,16.15837971,0.052781066,23.07979381,6.444631252,2.128216566,41.62236315,12.34438513,4.100005974,1.423263957,22.30534084,0.008147814
CL131469,NCI-H661,Lung,0.006046414,8.127212714,23.65510285,0.374238502,5.236417608,11.34988789,19.89805042,6.345539305,2.776878731,83.95477329,23.81891545,0.406421768,77.62916153,3.113772496,1.795650016,24.4504859,2.129064341,5.991707089,37.37490835,13.73831725,17.88107839,0,1.597666925,0.001213441,18.12069835,26.88506643,2.984969778,23.80568276,5.253791033,0.384200111,1.893307428,17.9840095,2.59729369
CL586460,NCI-H920,Lung,0.024825779,4.909584028,17.49127466,5.812698019,4.328341406,5.124182473,98.24792448,11.74273773,0,91.93398563,29.08641133,0.669623995,97.3837038,2.445748811,15.05450788,10.99180352,2.541128023,0.045278211,31.89062898,7.716681231,3.301650962,0,588.1784788,0.347977563,20.73224445,28.0134046,3.795830857,33.44035746,3.333874781,20.33029084,0.803611953,0.960888421,6.712139205
CL129461,NCI-H1299,Lung,0,2.983699093,24.46599155,1.674284205,4.14040042,9.059022756,19.52654858,23.19716514,0.009414823,57.29783338,51.52347154,0.738931566,72.04536854,3.35422754,9.752730754,3.974371674,1.88819827,0.739910146,10.86612129,16.33044179,9.31866019,0,11.65908944,0.000825169,18.02194739,8.648644878,3.45531997,37.15182087,2.781662863,8.145330976,1.862269079,9.408946137,0.013852724
CL586513,NCI-H1299F1-A11,Lung,0.002387364,2.607359236,20.85867442,1.629294545,3.275905597,9.021182759,34.21733602,31.54367752,0.018742251,64.22019319,36.79374107,0.562992795,69.57751616,3.242497105,9.80689782,4.520717168,1.875403019,0.087083311,8.532591322,16.16464995,9.213495359,0,19.94857455,0.000718672,14.47633287,12.63177606,3.471686839,40.34523033,4.962176247,9.593268406,1.487763485,5.629855006,0.012064876
CL131423,NCI-H1435,Lung,0,2.319479998,13.71836732,3.99108515,6.040890844,4.37265764,12.60000782,5.655709243,0.719448869,119.0794875,21.22456861,0.065058331,65.16856064,2.232999592,11.9500576,19.88963687,3.180349659,0.004464535,156.9705812,3.389366578,13.36912035,0,50.11588828,0.063372438,27.22099459,9.690875972,1.952945784,31.71232668,6.704658944,16.36138903,1.133327677,18.98613402,0.004948279
CL131815,NCI-H1568,Lung,0,3.611176688,20.11617113,4.197364929,2.801993381,8.690488486,1.723164435,10.14373311,0.002954263,97.56542159,19.98319532,0.220982388,67.12121512,5.433254272,187.7251009,17.48761666,8.340220472,0.032943791,72.05837455,14.55703306,8.34188634,0,21.07404457,0.988718727,22.95208658,12.2281842,4.812327116,25.69246329,17.62611654,14.87250912,1.979604938,14.77833489,2.288168835
CL132332,NCI-H1651,Lung,0.013333658,3.172803639,19.04754767,2.37810183,6.400142301,9.943731717,0.009284708,9.57530477,0.004361554,55.31852342,28.14607688,0.26624954,53.16360305,16.38415221,25.26279403,14.58344786,2.340360754,0.660650909,70.45869185,13.47703919,5.672090915,0,30.81269146,0.002341414,30.05254473,13.94016682,3.425031718,45.5064333,6.112718446,4.214865202,1.39513548,40.54816359,0.017968934
CL587135,NCI-H1792,Lung,0,4.07880756,8.758175275,22.01160488,3.625273641,4.450114713,69.60440941,9.654324013,0,74.2980296,17.69242721,0.937677679,29.34708535,2.254826847,27.57890483,13.29259977,4.19480136,0.223926854,49.05753316,4.3925929,5.984241556,0,63.00151289,0,21.6358205,21.6610294,3.629500728,29.31411423,7.61210506,6.127508076,1.258822701,0.471617627,0.415076189
CL129695,NCI-H2073,Lung,0.010115589,3.507709238,19.22215197,4.426617382,4.008118586,3.221468178,57.50599658,17.39126016,0.099266884,98.02454094,29.10000288,0.058321173,63.7055318,3.579199906,270.4184509,17.36035786,2.800967635,0.098395737,37.55655934,9.572209243,7.327207902,0,111.6492848,1.245450727,63.04124282,15.606602,2.073831091,58.20820658,6.188151143,11.49951475,1.672827631,34.65806013,0.034080362
CL129187,NCI-H650,Lung,0,3.784276979,20.74429755,0.981268371,6.584755947,19.36211235,14.32608909,7.638509922,0.30080851,121.5400209,66.223165,0.620264831,17.63158597,3.128543459,15.00556449,7.501237827,3.539365217,0.479199651,15.71495882,9.675755986,17.48850627,0,27.97217454,0.007589805,20.76705524,11.33865718,1.890227238,24.03009362,5.002487174,10.09700258,1.787462708,6.043081375,0.008047305
CL130837,NCI-H82,Lung,2.561189525,2.531742146,29.49892192,0.05206438,6.842781521,6.041674081,40.10673398,9.040945453,1.483118454,53.99259049,44.15696008,0.007585229,33.2779316,12.1692134,0.347612025,3.208382924,3.815046153,0.076517252,23.41846347,13.31123949,11.06442398,0,2.298678066,0.021049113,7.795989464,8.607463429,3.035605478,35.37679987,2.428725156,0.009600832,1.60609908,7.279930196,0.034327083
CL586367,NCI-H1339,Lung,0.002051692,2.592516657,12.03941161,1.309981805,2.842582093,9.012975715,6.579013405,13.18133541,0.790250991,101.6551165,39.09216731,0.135023463,57.44003528,1.579194205,15.33733849,5.810907769,3.049249984,0.093548873,16.96940882,9.22894535,16.48095106,0,8.874285812,0.00154406,15.08378313,19.57410894,3.34068962,26.39330754,2.84798129,9.059497369,2.87465134,3.908584937,0.004147405
CL586405,NCI-H1563,Lung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL585817,NCI-H1770,Lung,5.016637248,6.560455664,17.67692362,0.033465194,7.931518615,5.173819015,39.86615352,15.18722988,0.011761327,47.66226332,25.20880596,0.047671793,38.64460037,6.190669698,0.049817851,1.044827521,3.84915531,0.099926674,11.12173142,2.631767781,6.064927849,0,0.087781304,0.00103083,13.42744564,0.092727776,1.979433901,54.29678446,1.603631065,0.030169749,2.049252981,19.00809608,0.089987608
CL130148,NCI-H2122,Lung,0.003634072,4.532143399,18.25057652,2.095384627,2.22271829,2.413528579,0,13.7234721,0.030312769,101.662872,22.52778296,0.252958854,76.9323288,2.634194099,22.64919913,23.66198631,2.710264117,0.00662796,80.24120406,11.51374215,6.961568614,0,31.51608715,2.206538117,23.59643692,5.782186679,1.494459451,57.80472392,4.909098393,14.57387354,1.411240344,12.02108822,4.051382655
CL586406,NCI-H2444,Lung,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CL586008,NCI-H1355,Lung,0.00337562,4.516701988,21.03639043,5.663146152,2.459615402,4.166607645,22.37503958,13.94735044,0,77.7723849,18.33759293,0.324683965,52.11794904,4.136839953,10.12633062,20.86664726,2.082207906,6.587546257,99.71715711,9.132333486,10.96647192,0,46.3249715,2.023698922,36.24058235,6.33214104,2.480107903,42.20830864,10.34069531,10.00907339,1.913933051,21.21060488,0.078472166
CL586780,NCI-H1573,Lung,0.022622288,6.240100587,19.18524134,11.22497284,2.346195834,8.388320192,20.6561094,10.13304808,0.009081751,65.12463169,17.79021001,1.075816015,61.7153844,4.280155494,178.917181,55.01158702,3.768138941,0.423846567,82.5792875,7.096194231,10.17138888,0,79.67935266,1.201040481,33.10699115,4.987646248,4.498656092,37.08748067,9.936049082,6.409276623,4.901376144,18.38181182,0.224492526
CL586060,NCI-H1648,Lung,0.01244433,3.737545909,8.970362908,7.215867486,5.567878119,8.323224804,0,6.87499185,0.012211942,132.0195073,19.94482314,0.979090499,94.06409599,2.650698271,38.05340278,24.47400973,6.897146349,0.022696449,37.91709372,13.73650451,8.317182268,0,369.6233473,2.22988774,15.32366428,20.18443715,3.402675131,26.55102793,4.843578512,24.04599693,1.385583114,9.257292028,0.179234115
CL129693,NCI-H1944,Lung,0,2.47887189,17.61317332,10.66721989,3.038648391,2.988374516,0.066306339,21.72547125,0.062295696,71.546188,24.44174201,0.241023732,26.96423466,1.111378479,3.300108936,12.0380565,2.546831837,0.019296563,198.2499243,9.769913553,5.0741239,0,31.5761808,0.272315121,47.70849607,6.263985478,1.657505336,58.60552161,4.947034131,2.406666166,1.335539076,31.64207581,0.03208109
CL586455,NCI-H2023,Lung,0.002573651,3.470333217,18.58339087,4.091348379,3.209856241,8.428429095,0.005376379,11.47488433,0.226040298,79.70426226,29.52627525,0.275775582,69.10627199,4.18955399,42.49821674,11.40739927,2.624668805,2.778802656,80.77796005,14.66223201,8.416879634,0,62.81540368,0.095294273,36.81590715,23.10086399,2.820471357,38.13936526,6.109007935,4.310300914,1.84238195,13.47459449,0.080639086
CL131245,NCI-H2405,Lung,0.014084323,3.295570709,9.213903831,1.510250024,2.465726753,8.424894104,0.019614848,9.300678769,0.004607103,122.5185385,25.87076531,0.17825007,41.5799417,2.849337999,34.49864332,22.29069851,4.853426721,2.350409074,17.98350584,8.704734646,7.481856291,0.06644214,78.88630871,2.747054035,25.60808528,12.5242731,4.113289446,27.87318788,7.978032405,10.74684264,1.997392009,18.22443415,1.731976027
CL586722,NCI-H2452,Lung,0.011808224,7.070179413,13.61090251,5.007043943,2.847051801,7.890839962,0.016444988,7.758617124,0.001931286,52.07328148,40.19335226,0.546300648,46.3709731,2.642748317,45.0590232,3.992544259,2.453296369,0.746591538,26.65622029,7.084792802,10.52627531,0,77.67344084,0.001777324,33.95619437,19.95248218,3.859647533,29.23866905,9.831817401,8.124220492,0.835238282,4.934550973,0.031826407
CL586724,NCI-H2595,Lung,0.010093719,4.959708858,29.87029191,3.808744133,3.892085271,12.40952438,0,20.64005809,0.080892688,82.28229167,26.75451287,0.042581769,71.04583389,5.342724929,20.96956167,20.93550219,4.00977675,0.368186278,73.59868628,11.14438566,7.320483091,0,119.5750725,0.138759461,34.37367375,14.34426009,2.450029379,34.96537109,4.242698001,10.57996432,0.664580212,62.43258723,0.013602673
CL129179,NCI-H358,Lung,0.002983888,3.845083505,22.23547929,4.306092196,3.67389457,7.749896296,17.26643055,8.051192198,0.029281667,142.6437144,40.35835747,0.8773802,45.91706964,5.079154247,10.76748366,13.14232921,4.787414859,0.010884261,35.53459245,13.20327294,22.58662758,0,42.08173958,0.653922117,19.10979346,14.08510335,2.925949859,60.63483821,3.756117884,18.51245471,3.274785285,0.011267532,6.475136192
CL586376,NCI-H526,Lung,0.038262722,4.773278455,27.89751957,0.230112797,5.580654801,14.1067014,34.4995156,16.43447989,0.001444161,63.20021794,42.56310534,0.242124978,28.18872949,9.257096022,0.029117316,2.982084885,4.523006633,0.032208473,25.38036929,6.849167749,8.392281904,0,17.42605684,0.000443011,21.57869612,2.814917169,2.190218688,72.48914988,3.019054659,3.995822153,1.478719695,25.78497445,0.023798894
CL131993,NCI-H1734,Lung,0.343410272,4.689593886,24.22134086,4.500384497,6.037025315,8.135483155,56.25737864,24.1711418,0.034728735,92.316657,60.99560494,1.615714691,45.84130594,5.243227226,19.87267409,15.6032873,3.270641042,0.138652071,26.67011235,16.95284085,20.1817303,0,60.57816862,0.061158349,23.34001894,11.69451485,4.310236644,53.14667333,2.817254077,12.79733778,1.83922328,31.66667289,1.041283101
CL131775,NCI-H2030,Lung,0,3.70219808,20.6250124,5.320506266,1.855887516,10.12008509,10.61029698,10.42874679,0.014267915,80.20325771,48.35322317,0.425267159,36.27117854,4.370432247,19.23447448,20.01395914,1.833274001,1.025345918,46.23680257,8.525968764,5.620358707,0,57.29263891,0,26.97519921,3.010528552,2.045769186,42.63692175,4.935829741,4.083623707,1.073140266,29.53763909,0.009796937
CL130150,NCI-H441,Lung,0.012429799,3.530311822,28.87239401,12.28403109,8.585839664,9.00325654,2.700459423,7.756998995,0,167.7472128,23.64408567,2.219389553,77.0604049,2.998835128,15.69436349,31.94371866,4.464719624,0.017002459,87.99039532,10.89743196,21.09704498,0,216.8881171,0.573425035,31.66539594,24.12725324,5.812501237,40.42259142,3.382686368,24.85916737,2.495568035,31.47089477,1.04274106
CL129259,NCI-H647,Lung,0.005076952,2.399130096,12.46876193,3.253979806,3.030976422,6.718263425,0.021211594,14.65139071,0.151955403,90.43722802,21.0369979,1.327905761,37.3737478,2.973692709,6.394853429,10.3616605,2.446945055,0.046297706,58.78039105,6.065782961,9.306044405,0,29.90349265,0,27.47841113,18.04730563,3.275342004,32.4247405,6.383447947,9.763357476,1.671357209,20.13455306,0.048748469
CL586355,NCI-H847,Lung,0.828593198,33.50903396,35.97758797,0.033834242,7.598549189,9.568590948,13.9680451,13.87407578,0.050961552,90.3971787,22.25911564,0.035052733,267.1561142,10.63502164,5.422200541,4.080251426,5.451716708,0.294666886,12.35190477,7.898890842,4.738264742,0,0.004551248,0.002431795,13.68974209,7.447945298,4.285430829,34.14566679,4.549463847,6.671718821,3.709103434,32.87057017,1.12675198
CL586837,MS-1-L,Lung,1.470662344,4.564055856,13.95993721,0.111414454,3.098831625,2.08582208,56.80556478,4.397423124,0.526216208,26.47323079,32.29658512,0.078325386,46.03047916,2.81377943,3.210039157,0.745394203,1.874447882,0.133666973,12.56567923,3.027459087,7.166473069,0,0.02167767,0.000735408,12.44885275,0.01904412,2.393753571,47.99720873,4.454843172,1.040955228,1.432254453,21.79387765,0.009876675
CL587137,NCI-H1373,Lung,0.002491802,4.159670339,17.99577996,2.057730618,4.419798705,9.979166864,29.60829117,11.53451419,0.013448983,85.90617072,44.0466318,1.208881829,63.14251821,2.562366737,65.40167605,18.67659972,2.640274789,0.149973268,31.90088927,13.47407918,11.29545434,0,212.8558472,0.492072896,29.46122007,16.65733157,4.015736432,36.28627239,10.6989359,18.23763956,2.733680819,1.679569454,0.073037487
CL586012,NCI-H1395,Lung,0.105665689,7.008900436,7.088139463,5.458281735,3.271573477,2.393294197,1.860493601,9.090510369,0.011109907,35.1507678,23.60319243,1.665252584,38.36906727,4.566826188,6.403735571,12.3143737,3.098332302,0,45.06609191,7.851287671,12.55649859,0,56.21297103,0,20.2136395,9.107345567,1.828352925,20.97453178,4.907579225,2.248810355,0.85777182,6.056351872,0.007628519
CL129703,NCI-H2106,Lung,1.420037329,7.58432425,16.96934337,0,5.445488812,8.513890111,24.82806518,7.519383215,0.292841004,89.81416447,52.5000436,0.143254109,40.91762507,6.965857185,0.011976243,0.707035019,2.078917239,0.112605163,14.05915146,2.558112818,8.559596178,0,4.088644252,0,14.28860357,0.033775477,2.440484401,56.54744195,1.044977242,0.041209241,1.842659448,34.19397239,0.020801035
CL586165,NCI-H2110,Lung,0.002483317,3.777320111,14.46919292,8.417271443,3.354741496,2.028409949,48.26609341,8.573555109,0,233.7019248,20.35441838,0.524858732,83.11168763,3.659609737,17.49021603,32.79255253,2.220313156,0.01358751,103.3718246,13.27976576,10.21405582,0.035144803,35.66367873,3.109837009,22.73545303,9.638605418,3.344658195,86.0498378,6.157656022,6.73676446,1.223676513,30.43875989,5.923501683
CL129260,NCI-H2126,Lung,0.070862954,4.162476654,21.71372324,4.344041162,4.942372837,10.58450739,0,11.05192348,0,116.5845645,30.13794168,0.546254587,54.15694289,3.053056173,53.07227575,26.02925258,2.883369166,0,26.7019473,19.89507482,5.224874647,0,34.8763972,7.461347442,18.13442439,5.226776088,2.462321695,33.70588529,4.527651561,11.46243332,1.683104739,2.377877861,0.032555986
CL586729,NCI-H2722,Lung,0.016372321,5.374298906,9.401369095,4.656091657,3.500494715,9.885172008,0,19.75782562,0.064266325,69.25939655,34.33743465,0.455854941,77.92052519,2.447953306,36.13600286,15.50895961,2.853775368,8.175796638,19.45106295,11.56208709,8.310354409,0,104.052894,0,31.32265353,32.51892475,3.039889748,45.64207283,6.384989471,12.94813798,0.942021681,51.56732336,0.006619185
CL586514,NCI-H524,Lung,2.354570992,7.08656199,17.31965215,0.893109839,5.293437077,6.076206912,38.1754194,7.309423135,0.276578819,109.6937981,34.50974101,0.029805742,25.36078207,5.873287865,0.166246492,3.225028815,1.49869811,0.235307245,10.76840492,9.069998267,8.44811658,0,0.327097323,0.000462362,9.541458877,1.318323976,3.214945166,27.30371019,1.836917583,0.32108061,1.126564268,12.68424516,0.021733614
CL586784,NCI-H841,Lung,0,6.61460824,34.55184668,1.663933169,7.083999819,14.73601221,28.26749457,15.63617368,0.003061052,79.26240174,40.14451604,0.294108483,47.28237263,5.687137721,16.00563582,24.25351246,2.324677401,7.75993887,35.11215939,5.847693043,8.582853614,0,53.7007397,0.000234752,12.42435185,18.15358568,1.969400011,43.35226461,3.922019778,0.048718746,1.756831432,70.32282015,0.052020651
CL586133,NCI-H146,Lung,0.009300771,13.48325307,21.11083403,0.003787268,7.65495671,9.240930372,45.8242183,13.53137423,13.0871016,47.41340292,50.648315,0.000980915,56.18318891,7.127411246,0.012177872,2.407293119,8.675557018,0,13.02620528,8.499243147,11.21222663,0,6.393830125,0,13.97073972,0.016218054,5.58880669,42.30322732,6.507924182,1.001948013,1.300802412,3.854514693,3.663864251
CL586374,NCI-H211,Lung,0.002888645,3.643039788,31.19641008,2.526594018,6.068542043,5.360158229,9.44987645,14.41312524,0.080788999,92.02374209,26.41587867,0.008530307,35.88332374,25.88583666,0.013447887,10.77841498,14.28563158,0.047415796,44.59482204,7.373418162,15.93812583,0,26.41282478,0.00130436,7.35367957,5.647391497,2.673329174,18.07319437,4.885584257,14.37472171,3.118165958,16.09457743,0.075910489
CL586458,NCI-H2347,Lung,0.011893152,5.322631328,16.52738891,3.821035034,5.922184456,10.39716968,25.59024403,7.705966468,0.013129939,216.6081937,20.03625516,1.108821735,90.62678093,3.064793704,19.66593304,32.16776931,2.882054621,0,56.711,9.903880433,9.39086499,0,123.9850605,1.041842432,20.13248745,19.00741936,5.721130472,37.82036593,7.346524884,17.33693456,1.390299572,1.93113062,0.348601512
CL129184,NCI-H292,Lung,0.004095764,4.500678143,11.13551662,11.19422264,3.714090301,11.6670916,0,14.71799461,0.046221711,179.7130621,22.17737355,0.518356665,61.29462751,3.33115808,56.35652289,35.60203555,5.924322568,0,89.18657504,13.43832007,6.954497912,0,46.60494561,11.15885414,40.72898206,15.35259832,3.618177408,34.6338319,9.033778356,15.07385778,2.914830676,58.62430018,19.16268785
CL585717,NCI-H322T,Lung,0.046327725,3.661781618,22.46848867,3.303023072,3.287149963,11.62735965,0.004399046,6.560356262,0.002066481,179.0485412,29.42193072,0.458395632,75.3049452,2.973921944,47.0270692,11.88174744,3.005211546,0.026884547,34.68462758,9.777735502,12.26925832,0,20.0956654,0.02757526,18.48231411,9.252477796,3.957248461,38.00173982,7.17851131,11.84695496,2.367618036,36.84458544,1.755927294
CL129185,NCI-H522,Lung,0,3.502786768,35.06081785,0.131981052,3.0975301,15.82570917,55.73699356,10.79642961,0.002981872,74.8711439,39.43562418,0.007691296,48.11813638,2.782458322,0.11434738,55.96576166,4.362555502,22.3081758,37.77131196,11.79670332,5.346108325,0,0.303586016,0.010671727,79.64564804,25.13125098,2.898806761,42.73226231,8.887281586,0.042185369,1.939487619,0.478091254,0.020474762
CL131771,RERF-LC-MS,Lung,0.050803551,6.08924017,18.39121201,4.054685487,3.42254783,11.81700629,19.11502159,9.393986435,0,94.5464249,28.94223365,0.540567447,98.07251742,1.785792876,14.37141493,12.45087213,2.068543297,9.698148746,58.47019333,9.330412499,7.249768313,0,31.10008395,1.685680643,23.07937464,13.51397951,2.648887107,45.08001949,8.392422337,2.617785519,1.773086431,0.756704163,0.01711619
CL131233,OUMS-23,Colon,0.066997226,4.636695434,35.09793442,5.280865559,5.567624857,12.60199171,27.29676542,14.22154555,0.005870188,187.6627941,33.08117532,0.059555692,40.01141632,15.37897232,12.26856888,10.41891503,4.52810851,0.013092013,186.4670032,16.81714086,14.64134802,0,9.533255823,0.044298189,21.54763681,6.419496498,2.485131761,55.67688336,0.008740578,11.15770645,2.168453374,48.48820829,0.22491376
CL583697,RKO,Colon,0,4.509798134,8.349056248,2.898162276,3.59354751,8.940488218,0,5.951032478,0.00707878,90.59806072,50.40488144,0.014201181,97.25764611,1.287990733,1.992525356,13.06582777,3.400466669,0.210499744,17.09670369,4.89309558,7.770290647,0,12.24232188,0,11.05240574,7.126766495,2.731010204,21.7261069,2.659629791,7.899935576,0.72602735,9.987639343,0
CL129450,RERF-LC-KJ,Lung,0.002378763,4.017412804,21.41926166,8.496826403,3.675279245,4.831678462,20.89571849,8.184631844,0.002334341,76.36346574,41.13659554,0.242850459,56.86877868,4.240536403,34.49740814,81.22102807,3.443319824,0.008676957,31.62328625,11.99518603,11.13108897,0,109.0275404,12.03197892,34.79322411,26.61210845,3.317706653,54.38237078,9.544495479,10.17220136,1.893406341,3.561561862,0.076937019
